name,honorific,title,category,profile_url
Uwe Aickelin,Prof,Head of School,Leadership,https://findanexpert.unimelb.edu.au/profile/815636
Jenny Waycott,Prof,"Deputy Head, Research",Leadership,https://findanexpert.unimelb.edu.au/profile/52243
Adrian Pearce,Prof,"Deputy Head, Engagement",Leadership,https://findanexpert.unimelb.edu.au/profile/14397
Artem Polyvyanyy,A/Prof,Deputy Head of School (Academic Quality),Leadership,https://findanexpert.unimelb.edu.au/profile/817239
Shaanan Cohney,Dr,Deputy Head of School (Academic Strategy),Leadership,https://findanexpert.unimelb.edu.au/profile/640004
Antonette Mendoza,A/Prof,"Director, Education",Leadership,https://findanexpert.unimelb.edu.au/profile/6868
Annaliese McPharlin,,"Operations Manager, CIS",Leadership,N/A
Reeva Lederman,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/5168
Ben Rubinstein,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/20074
Ofir Turel,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/883811
Shanika Karunasekera,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/18115
Cezary Kaliszyk,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/1063018
Toby Murray,Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/780796
Kris Ehinger,A/Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/850727
Wafa Johal,A/Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/892823
Nir Lipovetzky,A/Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/565558
Jorge Goncalves,A/Prof,School Executive Member,Leadership,https://findanexpert.unimelb.edu.au/profile/803639
Chris Ewin,Dr,BScience (Computing and Software Systems) & Diploma of Computing,Program coordinators,https://findanexpert.unimelb.edu.au/profile/579778
Junhao Gan,,Master of Information Technology,Program coordinators,https://findanexpert.unimelb.edu.au/profile/831627
Jean Honorio,Dr,Master of Data Science,Program coordinators,https://findanexpert.unimelb.edu.au/profile/1066217
Jey Han Lau,Dr,Graduate Research Coordinator (Current Students),Program coordinators,https://findanexpert.unimelb.edu.au/profile/385601
Bach Le,Dr,Master of Software Engineering,Program coordinators,https://findanexpert.unimelb.edu.au/profile/853277
Libo Liu,Dr,Master of Information Systems,Program coordinators,https://findanexpert.unimelb.edu.au/profile/864133
Ling Luo,Dr,"Master of Computer Science, GDip (Computer Science)",Program coordinators,https://findanexpert.unimelb.edu.au/profile/849504
Roisin McNaney,A/Prof,Graduate Research Coordinator (Current Students),Program coordinators,https://findanexpert.unimelb.edu.au/profile/1117121
Jianzhong Qi,A/Prof,Graduate Research Coordinator (Future Students),Program coordinators,https://findanexpert.unimelb.edu.au/profile/430525
Patanamon Thongtanunam,Dr,Graduate Research Coordinator (Current Students),Program coordinators,https://findanexpert.unimelb.edu.au/profile/833794
Greg Wadley,Dr,"BDesign (Digital Technologies), BDesign (User Experience Design)",Program coordinators,https://findanexpert.unimelb.edu.au/profile/1536
Amani Abusafia,Dr,Lecturer,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1109200
Atif Ahmad,Prof,Professor,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1601
Uwe Aickelin,Prof,Professor and Head of School,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/815636
Naveed Akhtar,Dr,Senior Lecturer in Machine Learning & ARC DECRA Senior Fellow,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1050019
Lachlan Andrew,Dr,Lecturer,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/15524
Madeleine Antonellos,,Tutor - Education Focussed,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/851650
Abel Armas Cervantes,Dr,Lecturer In Information Systems,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/822941
Arzoo Atiq,Dr,Lecturer,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1003878
James Bailey,Prof,Professor,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/351
Tim Baldwin,Prof,Professor,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/28799
Tingting Bi,,,Surnames A-D,N/A
Renata Borovica-Gajic,A/Prof,"ARC DECRA Fellow, Associate Dean (Diversity & Inclusion)",Surnames A-D,https://findanexpert.unimelb.edu.au/profile/794609
Rajkumar Buyya,Prof,Redmond Barry Distinguished Professor,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/7930
Daniel Capurro,A/Prof,Associate Professor In Digital Health,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/852679
Huey Yee Chan,Ms,Workshop Coordinator,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/675952
Shanton Chang,Prof,Associate Dean (International),Surnames A-D,https://findanexpert.unimelb.edu.au/profile/3747
Geela Chee,Dr,Lecturer (Education Specialist) Cis,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1017400
Bin Chen,Dr,Lecturer In Computer Graphics,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/1087324
Marc Cheong,Dr,Senior Lecturer - Information Systems,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/862627
Andrew Chester,Dr,Associate Lecturer (Education Specialist),Surnames A-D,https://findanexpert.unimelb.edu.au/profile/418940
Rajesh Chittor Sundaram,Dr,Associate Lecturer,Surnames A-D,https://findanexpert.unimelb.edu.au/profile/815704
